SelectionLabel,Manufactuer Name,Product Name,Image File Name,Item Number
Zodiac - MX6 Elite,Zodiac,MX6 Elite,MX6_Zodiac-2,52520335
Zodiac - G3 Pro,Zodiac,G3 Pro,Zodiac G3 Pro Left,52520228
Zodiac - MX8 Elite,Zodiac,MX8 Elite,MX8_Image,52520350
SunBlazer - GR5,SunBlazer,GR5,SunBlazer_GR5_Image,
SunBlazer - GR10,SunBlazer,GR10,SunBlazer_GR10_Image,
Hayward - Aquanaut 250,Hayward,Aquanaut 250,HAYWARD_AQUANAUT-250_Image1,
Hayward - Aquanaut 450,Hayward,Aquanaut 450,aquanaut-450-view-1,06131486
Hayward - AquaVac 250Li,Hayward,AquaVac 250Li,hayward_aquavac250 Li Right,34550327
Hayward - TracVac,Hayward,TracVac,Hayward TracVac_Image1,06131650
Hayward - Navi 50,Hayward,Navi 50,Navi 50 Left,06131601
Hayward - Navi 50 V-Flex,Hayward,Navi 50 V-Flex,Navi 50 V-Flex Left,06131627
Hayward - Tiger Shark QC,Hayward,Tiger Shark QC,tigershark-right,34550178
Hayward - Penguin,Hayward,Penguin,PENGUIN_Group,06131189
Polaris - EPIC 8642iQ,Polaris,EPIC 8642iQ,Polaris Epic_8642iQ_TSE,32021354
Polaris - Alpha iQ,Polaris,Alpha iQ,Alpha_iQ_TSE 2,32021297
Polaris - Alpha iQ+,Polaris,Alpha iQ+,Alpha_iQPlus_TSE,32021305
Polaris - Atlas XT,Polaris,Atlas XT,polaris atlas xt NEW,32021404
Polaris - EPIC 8520,Polaris,EPIC 8520,Polaris Epic_8520_No Shadow,32021339
Polaris - EPIC 8640,Polaris,EPIC 8640,Polaris Epic_8640_No Shadow,32021347
Polaris - Freedom Cordless,Polaris,Freedom Cordless,01_FREEDOM,32021495
Polaris - Freedom Plus Cordless,Polaris,Freedom Plus Cordless,Freedomplus Left,32021461
Polaris - Freedom SC Cordless,Polaris,Freedom SC Cordless,01_Freedom_SC,32021446
Polaris - Phenom iQ+,Polaris,Phenom iQ+,03_PHENOM_iQ+,32021453
Polaris - Pixel Cordless,Polaris,Pixel Cordless,Pixel Top Angle,32021388
Polaris - 3900 Sport,Polaris,3900 Sport,3900S3-4 Front Shot,32021180
Polaris - 7240 Sport,Polaris,7240 Sport,Polaris_7240_Sport,32021271
Polaris - Skimbot,Polaris,Skimbot,03_Skimbot No Shadow,32021313
Polaris - Spabot,Polaris,Spabot,03_Spabot,32021420
Polaris - TR28P,Polaris,TR28P,TR28P,32021289
Polaris - TR35P,Polaris,TR35P,TR35P_1,32021099
Polaris - TR36P,Polaris,TR36P,TR36P_TSE_Front,32021248
Polaris - Q4000,Polaris,Q4000,32021396_Image,32021396
Polaris - Quattro Sport,Polaris,Quattro Sport,Quattro Sport HERO,32021172
Polaris - Scout 40 Robotic,Polaris,Scout 40 Robotic,scout_40,32021479
Polaris - Scout 42iQ Robotic,Polaris,Scout 42iQ Robotic,scout_42iq_hero,32021438
Pentair - Dorado,Pentair,Dorado,Dorado_Image,79011359
Pentair - Kreepy Kruiser,Pentair,Kreepy Kruiser,Kreepy Krauly Kruiser_Image,25951120
Pentair - Lil' Rebel,Pentair,Lil' Rebel,Lil-Rebel,79011037
Pentair - Lil' Shark,Pentair,Lil' Shark,LilShark_white,79011029
Pentair - Rebel,Pentair,Rebel,Rebel_SideView,79011326
Maytronics - Active 30 w/ Wifi,Maytronics,Active 30 w/ Wifi,Active30_Right,21950100
Maytronics - Active 40 w/ Wifi,Maytronics,Active 40 w/ Wifi,Active 40,21950167
Maytronics - Nautilus CC Plus,Maytronics,Nautilus CC Plus,dolphin-nautilus-plus-pz,21950209
Maytronics - Nautilus CC,Maytronics,Nautilus CC,NAUTILUS CC_ ST_Hero,21950191
Maytronics - Solo,Maytronics,Solo,Maytronics Solo,21950027
Maytronics - Active 15,Maytronics,Active 15,Active15_RightAngle,21950035
Maytronics - Active 60 w/ Wifi,Maytronics,Active 60 w/ Wifi,Active 60,21950175
Maytronics - Active 20,Maytronics,Active 20,Active20_Right,21950050
Maytronics - Liberty 200,Maytronics,Liberty 200,LIBERTY200_Front,21950225
Maytronics - Liberty 300,Maytronics,Liberty 300,LIBERTY300_2022,21950241
Maytronics - Liberty 400,Maytronics,Liberty 400,Dolphin-LIBERTY-400,21950258
Maytronics - Skimmi Surfance Robot,Maytronics,Skimmi Surfance Robot,Dolphin-Skimmi,21950274
Maytronics - Sonar 50,Maytronics,Sonar 50,Niya Sonar 50,21950407
